,state_name,state_code,nb_electors,forcast
0,Alabama,AL,9,1
1,Arizona,AZ,11,1
2,Colorado,CO,9,1
3,Connecticut,CT,7,-1
4,Delaware,DE,3,-1
5,District_de_Columbia,DC,3,-1
6,Californie,CA,55,-1
7,Floride,FL,29,-1
8,Georgie,GA,16,-1
9,Hawai,HI,4,-1
10,Idaho,ID,4,1
11,Alaska,AK,3,1
12,Illinois,IL,20,-1
13,Kansas,KS,6,1
14,Indiana,IN,11,1
15,Kentucky,KY,8,1
16,Louisiane,LA,8,1
17,Maine,ME,4,1
18,Maryland,MD,10,-1
19,Iowa,IA,6,1
20,Massachusetts,MA,11,-1
21,Arkansas,AR,6,-1
22,Minnesota,MN,10,-1
23,Montana,MT,3,1
24,Nebraska,NE,5,1
25,Nevada,NV,6,1
26,Missouri,MO,10,1
27,New_Hampshire,NH,4,1
28,Nouveau_Mexique,NM,5,-1
29,New_Jersey,NJ,14,-1
30,New_York,NY,29,-1
31,Caroline_du_Nord,NC,15,1
32,Mississippi,MS,6,1
33,Michigan,MI,16,-1
34,Ohio,OH,18,1
35,Pennsylvanie,PA,20,-1
36,Rhode_Island,RI,4,-1
37,Caroline_du_Sud,SC,9,1
38,Dakota_du_Sud,SD,3,1
39,Tennessee,TN,11,1
40,Oregon,OR,7,-1
41,Utah,UT,6,1
42,Dakota_du_Nord,ND,3,1
43,Vermont,VT,3,1
44,Virginie,VA,13,1
45,Oklahoma,OK,7,1
46,Texas,TX,38,1
47,Washington,WA,12,-1
48,Virginie_Occidentale,WV,5,1
49,Wisconsin,WI,10,-1
50,Wyoming,WY,3,1
